z, Voltage (V), Electric Field (Newton/Coulomb)
0.00283664 , 1685.31 , -337474
0.00283164 , 1683.62 , -338379
0.00282664 , 1681.92 , -339284
0.00282164 , 1680.22 , -340188
0.00281664 , 1678.52 , -341093
0.00281164 , 1676.81 , -341998
0.00280664 , 1675.1 , -342903
0.00280164 , 1673.38 , -343807
0.00279664 , 1671.66 , -344712
0.00279164 , 1669.94 , -345617
0.00278664 , 1668.21 , -346522
0.00278164 , 1666.47 , -347426
0.00277664 , 1664.73 , -348331
0.00277164 , 1662.99 , -349236
0.00276664 , 1661.24 , -350141
0.00276164 , 1659.49 , -351045
0.00275664 , 1657.73 , -351950
0.00275164 , 1655.97 , -352855
0.00274664 , 1654.2 , -353760
0.00274164 , 1652.43 , -354664
0.00273664 , 1650.65 , -355569
0.00273164 , 1648.87 , -356474
0.00272664 , 1647.09 , -357379
0.00272164 , 1645.3 , -358284
0.00271664 , 1643.51 , -359188
0.00271164 , 1641.71 , -360093
0.00270664 , 1639.9 , -360998
0.00270164 , 1638.1 , -361903
0.00269664 , 1636.29 , -362807
0.00269164 , 1634.47 , -363712
0.00268664 , 1632.65 , -364617
0.00268164 , 1630.82 , -365522
0.00267664 , 1628.99 , -366426
0.00267164 , 1627.16 , -367331
0.00266664 , 1625.32 , -368236
0.00266164 , 1623.48 , -369141
0.00265664 , 1621.63 , -370045
0.00265164 , 1619.78 , -370950
0.00264664 , 1617.92 , -371855
0.00264164 , 1616.06 , -372760
0.00263664 , 1614.19 , -373664
0.00263164 , 1612.32 , -374569
0.00262664 , 1610.45 , -375474
0.00262164 , 1608.57 , -376379
0.00261664 , 1606.68 , -377283
0.00261164 , 1604.79 , -378188
0.00260664 , 1602.9 , -379093
0.00260164 , 1601 , -379998
0.00259664 , 1599.1 , -380902
0.00259164 , 1597.19 , -381807
0.00258664 , 1595.28 , -382712
0.00258164 , 1593.37 , -383617
0.00257664 , 1591.45 , -384521
0.00257164 , 1589.52 , -385426
0.00256664 , 1587.59 , -386331
0.00256164 , 1585.66 , -387236
0.00255664 , 1583.72 , -388140
0.00255164 , 1581.78 , -389045
0.00254664 , 1579.83 , -389950
0.00254164 , 1577.88 , -390855
0.00253664 , 1575.92 , -391760
0.00253164 , 1573.96 , -392664
0.00252664 , 1571.99 , -393569
0.00252164 , 1570.02 , -394474
0.00251664 , 1568.05 , -395379
0.00251164 , 1566.07 , -396283
0.00250664 , 1564.09 , -397188
0.00250164 , 1562.1 , -398093
0.00249664 , 1560.11 , -398998
0.00249164 , 1558.11 , -399902
0.00248664 , 1556.11 , -400807
0.00248164 , 1554.1 , -401712
0.00247664 , 1552.09 , -402617
0.00247164 , 1550.07 , -403521
0.00246664 , 1548.05 , -404426
0.00246164 , 1546.03 , -405331
0.00245664 , 1544 , -406236
0.00245164 , 1541.97 , -407140
0.00244664 , 1539.93 , -408045
0.00244164 , 1537.89 , -408950
0.00243664 , 1535.84 , -409855
0.00243164 , 1533.79 , -410759
0.00242664 , 1531.73 , -411664
0.00242164 , 1529.67 , -412569
0.00241664 , 1527.61 , -413474
0.00241164 , 1525.54 , -414378
0.00240664 , 1523.46 , -415283
0.00240164 , 1521.38 , -416188
0.00239664 , 1519.3 , -417093
0.00239164 , 1517.21 , -417997
0.00238664 , 1515.12 , -418902
0.00238164 , 1513.02 , -419807
0.00237664 , 1510.92 , -420712
0.00237164 , 1508.82 , -421616
0.00236664 , 1506.71 , -422521
0.00236164 , 1504.59 , -423426
0.00235664 , 1502.47 , -424331
0.00235164 , 1500.35 , -425236
0.00234664 , 1498.22 , -426140
0.00234164 , 1496.09 , -427045
0.00233664 , 1493.95 , -427950
0.00233164 , 1491.81 , -428854
0.00232664 , 1489.66 , -429759
0.00232164 , 1487.51 , -430664
0.00231664 , 1485.35 , -431569
0.00231164 , 1483.19 , -432474
0.00230664 , 1481.03 , -433378
0.00230164 , 1478.86 , -434283
0.00229664 , 1476.69 , -435188
0.00229164 , 1474.51 , -436093
0.00228664 , 1472.33 , -436997
0.00228164 , 1470.14 , -437902
0.00227664 , 1467.95 , -438807
0.00227164 , 1465.75 , -439712
0.00226664 , 1463.55 , -440616
0.00226164 , 1461.34 , -441521
0.00225664 , 1459.13 , -442426
0.00225164 , 1456.92 , -443331
0.00224664 , 1454.7 , -444235
0.00224164 , 1452.48 , -445140
0.00223664 , 1450.25 , -446045
0.00223164 , 1448.02 , -446950
0.00222664 , 1445.78 , -447854
0.00222164 , 1443.54 , -448759
0.00221664 , 1441.29 , -449664
0.00221164 , 1439.04 , -450569
