z, Voltage (V), Electric Field (Newton/Coulomb)
0.00516352 , 751.837 , -118173
0.00515852 , 751.246 , -118243
0.00515352 , 750.654 , -118313
0.00514852 , 750.063 , -118384
0.00514352 , 749.471 , -118454
0.00513852 , 748.878 , -118524
0.00513352 , 748.285 , -118593
0.00512852 , 747.692 , -118663
0.00512352 , 747.099 , -118733
0.00511852 , 746.505 , -118803
0.00511352 , 745.911 , -118872
0.00510852 , 745.316 , -118942
0.00510352 , 744.721 , -119011
0.00509852 , 744.126 , -119080
0.00509352 , 743.531 , -119150
0.00508852 , 742.935 , -119219
0.00508352 , 742.338 , -119288
0.00507852 , 741.742 , -119357
0.00507352 , 741.145 , -119426
0.00506852 , 740.547 , -119495
0.00506352 , 739.95 , -119563
0.00505852 , 739.352 , -119632
0.00505352 , 738.753 , -119701
0.00504852 , 738.155 , -119769
0.00504352 , 737.556 , -119838
0.00503852 , 736.956 , -119906
0.00503352 , 736.357 , -119974
0.00502852 , 735.757 , -120042
0.00502352 , 735.156 , -120111
0.00501852 , 734.556 , -120179
0.00501352 , 733.955 , -120247
0.00500852 , 733.353 , -120314
0.00500352 , 732.751 , -120382
0.00499852 , 732.149 , -120450
0.00499352 , 731.547 , -120518
0.00498852 , 730.944 , -120585
0.00498352 , 730.341 , -120653
0.00497852 , 729.738 , -120720
0.00497352 , 729.134 , -120788
0.00496852 , 728.53 , -120855
0.00496352 , 727.925 , -120922
0.00495852 , 727.321 , -120989
0.00495352 , 726.715 , -121056
0.00494852 , 726.11 , -121123
0.00494352 , 725.504 , -121190
0.00493852 , 724.898 , -121257
0.00493352 , 724.292 , -121324
0.00492852 , 723.685 , -121391
0.00492352 , 723.078 , -121457
0.00491852 , 722.47 , -121524
0.00491352 , 721.862 , -121590
0.00490852 , 721.254 , -121657
0.00490352 , 720.646 , -121723
0.00489852 , 720.037 , -121789
0.00489352 , 719.428 , -121855
0.00488852 , 718.819 , -121922
0.00488352 , 718.209 , -121988
0.00487852 , 717.599 , -122054
0.00487352 , 716.988 , -122119
0.00486852 , 716.377 , -122185
0.00486352 , 715.766 , -122251
0.00485852 , 715.155 , -122317
0.00485352 , 714.543 , -122382
0.00484852 , 713.931 , -122448
0.00484352 , 713.319 , -122513
0.00483852 , 712.706 , -122579
0.00483352 , 712.093 , -122644
0.00482852 , 711.48 , -122709
0.00482352 , 710.866 , -122775
0.00481852 , 710.252 , -122840
0.00481352 , 709.637 , -122905
0.00480852 , 709.023 , -122970
0.00480352 , 708.408 , -123035
0.00479852 , 707.792 , -123100
0.00479352 , 707.177 , -123164
0.00478852 , 706.561 , -123229
0.00478352 , 705.944 , -123294
0.00477852 , 705.328 , -123358
0.00477352 , 704.711 , -123423
0.00476852 , 704.094 , -123487
0.00476352 , 703.476 , -123552
0.00475852 , 702.858 , -123616
0.00475352 , 702.24 , -123680
0.00474852 , 701.621 , -123744
0.00474352 , 701.002 , -123809
0.00473852 , 700.383 , -123873
0.00473352 , 699.764 , -123937
0.00472852 , 699.144 , -124000
0.00472352 , 698.524 , -124064
0.00471852 , 697.903 , -124128
0.00471352 , 697.282 , -124192
0.00470852 , 696.661 , -124255
0.00470352 , 696.04 , -124319
0.00469852 , 695.418 , -124383
0.00469352 , 694.796 , -124446
0.00468852 , 694.174 , -124509
0.00468352 , 693.551 , -124573
0.00467852 , 692.928 , -124636
0.00467352 , 692.305 , -124699
0.00466852 , 691.681 , -124762
0.00466352 , 691.057 , -124825
0.00465852 , 690.433 , -124888
0.00465352 , 689.808 , -124951
0.00464852 , 689.183 , -125014
0.00464352 , 688.558 , -125077
0.00463852 , 687.932 , -125140
0.00463352 , 687.307 , -125203
0.00462852 , 686.68 , -125265
0.00462352 , 686.054 , -125328
0.00461852 , 685.427 , -125390
0.00461352 , 684.8 , -125453
0.00460852 , 684.172 , -125515
0.00460352 , 683.545 , -125577
0.00459852 , 682.917 , -125640
0.00459352 , 682.288 , -125702
0.00458852 , 681.66 , -125764
0.00458352 , 681.031 , -125826
0.00457852 , 680.401 , -125888
0.00457352 , 679.772 , -125950
0.00456852 , 679.142 , -126012
0.00456352 , 678.512 , -126074
0.00455852 , 677.881 , -126136
0.00455352 , 677.25 , -126197
0.00454852 , 676.619 , -126259
0.00454352 , 675.988 , -126321
0.00453852 , 675.356 , -126382
0.00453352 , 674.724 , -126444
0.00452852 , 674.092 , -126505
0.00452352 , 673.459 , -126566
